Key,Species,Subject,Location,Home,ObservationNumber,Date,Time,Photoperiod,Weather,VisibilityIssue,Arrival,Condition,NumSubjectsInObservation,Interference,AggressionSeen,Dog,Coyote,PuzzleReset,TrialLengthAvg,TrialLengthMax,PropVigilantAvg_RT,PropVigilantMax_RT,LookAtCamera_RT,Touch_RT,WorkTimeAvg_PS,WorkTimeMax_PS,Urinate,TotalExplorationAvg_RT,TotalExplorationMax_RT,ExploratoryDiversityAvg_PS,ExploratoryDiversityMax_PS,ActivityRateAvg_PS,ActivityRateMax_PS,Solve_PS,WasSolveOffCamera,FinalSolverofLocation,Solve_PS_Binary,TrialNumber_RT,TrialNumber_PS,Dummy
Coyote 1_Coyote_Lake Chabot Valley_2_Alone,Coyote,Coyote 1,Lake Chabot Valley,No,2,12/11/2023,6:58:33,night,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,23.563,23.563,0,0,No,Yes,0.833,0.833,No,3,3,1,1,3.601440576,3.601440576,No,No,None,0,1,1,NA
Coyote 1_Coyote_Lake Chabot Valley_3_Alone,Coyote,Coyote 1,Lake Chabot Valley,No,3,12/14/2023,7:31:40,day,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,13.663,13.663,0.278050209,0.278050209,No,Yes,0.232,0.232,No,3,3,2,2,12.93103448,12.93103448,No,No,None,0,2,2,NA
Coyote 1_Coyote_OZ Cali Trail_1_Alone,Coyote,Coyote 1,OZ Cali Trail,No,1,2/28/2023,7:01:29,day,clear,No,First,Alone,1,No,No,No,Yes,Yes,13.131,13.131,0,0,No,Yes,6.232,6.232,No,5,5,2,2,0.802310655,0.802310655,No,No,None,0,1,1,NA
Coyote 1_Coyote_Rifle Range Road Trailhead_2_Alone,Coyote,Coyote 1,Rifle Range Road Trailhead,No,2,11/25/2023,4:19:39,night,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,17.055,17.055,0,0,Yes,Yes,13.846,13.846,No,4,4,3,3,0.288892099,0.288892099,No,No,None,0,1,1,NA
Coyote 1_Coyote_Sibley Volcanic Regional Preserve_1_Alone,Coyote,Coyote 1,Sibley Volcanic Regional Preserve,No,1,11/8/2023,6:50:19,night,clear,No,First,Alone,1,No,No,No,Yes,No,2.626,2.626,0,0,Yes,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,None,NA,1,NA,NA
Coyote 1_Coyote_Skyline Gate Staging Area_1_Alone,Coyote,Coyote 1,Skyline Gate Staging Area,No,1,11/15/2023,18:51:02,night,clear,No,First,Alone,1,No,No,No,Yes,No,3.74,3.74,0.770320856,0.770320856,Yes,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,None,NA,1,NA,NA
Coyote 1_Coyote_Sunset View Cemetery_1_Alone,Coyote,Coyote 1,Sunset View Cemetery,No,1,2/22/2023,5:24:11,night,clear,No,First,Alone,1,No,No,No,Yes,No,71.678,71.678,0.093822372,0.093822372,Yes,Yes,13.364,13.364,No,12,12,3,3,0.89793475,0.89793475,Yes,Yes,Coyote,1,1,1,NA
Coyote 1_Coyote_Tilden Nature Area-Jewel Lake_1_Alone,Coyote,Coyote 1,Tilden Nature Area-Jewel Lake,No,1,11/10/2023,20:42:16,night,clear,No,First,Alone,1,No,No,No,Yes,Yes,11.065,11.065,0,0,No,No,0,0,No,0,0,0,0,0,0,DidNotAttempt,DidNotAttempt,None,NA,1,NA,NA
Coyote 1_Coyote_Tilden Nature Area-Loop Road Parking_1_Alone,Coyote,Coyote 1,Tilden Nature Area-Loop Road Parking,No,1,11/11/2023,7:51:17,day,clear,No,First,Alone,1,No,No,No,Yes,No,7.932,7.932,0,0,Yes,Yes,5.6,5.6,No,4,4,3,3,0.714285714,0.714285714,Yes,No,Coyote,1,1,1,NA
Coyote 1_Coyote_Tilden Regional Park-Lake Anza_6_Alone,Coyote,Coyote 1,Tilden Regional Park-Lake Anza,No,6,11/16/2023,0:01:14,night,clear,No,NotFirst,Alone,1,No,No,Yes,Yes,No,6.465,6.465,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Coyote,NA,1,NA,NA
